step,loss
0,0.0013552674
10,0.0005903666
20,0.0055435966
30,0.0006932231
40,0.00053527934
50,0.0013283761
60,0.00058292807
70,0.0012272382
80,0.0008197776
90,0.0005949777
100,0.0007586131
110,0.00064661034
120,0.0016464919
130,0.00087642216
140,0.0027299074
150,0.0004944795
160,0.00053747004
170,0.00051376387
180,0.00055173313
190,0.0058871536
200,0.00210534
210,0.000525674
220,0.00050917204
230,0.00094773096
240,0.00054052065
250,0.0005066187
260,0.0005270654
270,0.0005944682
280,0.00069668435
290,0.0005347015
300,0.00039251283
310,0.0004948913
320,0.0005780637
330,0.00076126785
340,0.0010038477
350,0.00051461346
360,0.0004314658
370,0.0018152683
380,0.00061224075
390,0.0005669502
400,0.0004166214
410,0.0005244443
420,0.0006788959
430,0.00071661855
440,0.0018903668
450,0.0005461383
460,0.0014005026
470,0.00056682015
480,0.0010548637
490,0.00067562435
500,0.0010384374
510,0.0005087872
520,0.00053818244
530,0.00053982914
540,0.0005800497
