step,train_acc
0,0.78125
10,0.734375
20,0.65625
30,0.609375
40,0.734375
50,0.59375
60,0.796875
70,0.984375
80,1.0
90,0.984375
100,0.984375
110,1.0
120,1.0
130,1.0
140,1.0
150,1.0
160,1.0
170,1.0
180,1.0
190,1.0
200,1.0
210,1.0
220,1.0
230,1.0
240,0.984375
250,1.0
260,1.0
270,1.0
280,1.0
290,1.0
300,1.0
310,1.0
320,1.0
330,1.0
340,1.0
350,1.0
360,1.0
370,0.984375
380,1.0
390,1.0
400,1.0
410,1.0
420,1.0
430,1.0
440,1.0
450,1.0
460,1.0
470,1.0
480,1.0
490,1.0
500,1.0
510,1.0
520,1.0
530,1.0
540,1.0
